symbol,name,tdx_api_mkt,code
SH688308,欧科亿,1,688308
SH688305,科德数控,1,688305
SH688303,大全能源,1,688303
SH688302,海创药业-U,1,688302
SH688301,奕瑞科技,1,688301
SH688299,长阳科技,1,688299
SH688298,东方生物,1,688298
SH688297,中无人机,1,688297
SH688295,中复神鹰,1,688295
SH688286,敏芯股份,1,688286
SH688281,华秦科技,1,688281
SH688278,特宝生物,1,688278
SH688276,百克生物,1,688276
SH688275,万润新能,1,688275
SH688271,联影医疗,1,688271
SH688270,臻镭科技,1,688270
SH688268,华特气体,1,688268
SH688266,泽璟制药-U,1,688266
SH688262,国芯科技,1,688262
SH688261,东微半导,1,688261
SH688259,创耀科技,1,688259
SH688256,寒武纪-U,1,688256
SH688255,凯尔达,1,688255
SH688248,南网科技,1,688248
SH688246,嘉和美康,1,688246
SH688239,航宇科技,1,688239
SH688236,春立医疗,1,688236
SH688235,百济神州-U,1,688235
SH688234,天岳先进,1,688234
SH688233,神工股份,1,688233
SH688232,新点软件,1,688232
SH688226,威腾电气,1,688226
SH688223,晶科能源,1,688223
SH688221,前沿生物-U,1,688221
SH688218,江苏北人,1,688218
SH688216,气派科技,1,688216
SH688213,思特威-W,1,688213
SH688208,道通科技,1,688208
SH688206,概伦电子,1,688206
SH688202,美迪西,1,688202
SH688201,信安世纪,1,688201
SH688200,华峰测控,1,688200
SH688198,佰仁医疗,1,688198
SH688189,南新制药,1,688189
SH688188,柏楚电子,1,688188
SH688187,时代电气,1,688187
SH688186,广大特材,1,688186
SH688185,康希诺,1,688185
SH688180,君实生物-U,1,688180
SH688177,百奥泰,1,688177
SH688176,亚虹医药-U,1,688176
SH688172,燕东微,1,688172
SH688170,德龙激光,1,688170
SH688169,石头科技,1,688169
SH688167,炬光科技,1,688167
SH688166,博瑞医药,1,688166
SH688161,威高骨科,1,688161
SH688158,优刻得-W,1,688158
SH688156,路德环境,1,688156
SH688153,唯捷创芯-U,1,688153
SH688152,麒麟信安,1,688152
SH688148,芳源股份,1,688148
SH688147,微导纳米,1,688147
SH688141,杰华特,1,688141
SH688139,海尔生物,1,688139
SH688138,清溢光电,1,688138
SH688137,近岸蛋白,1,688137
SH688133,泰坦科技,1,688133
SH688131,皓元医药,1,688131
SH688126,沪硅产业-U,1,688126
SH688123,聚辰股份,1,688123
SH688122,西部超导,1,688122
SH688120,华海清科,1,688120
SH688116,天奈科技,1,688116
SH688114,华大智造,1,688114
SH688112,鼎阳科技,1,688112
SH688111,金山办公,1,688111
SH688110,东芯股份,1,688110
SH688107,安路科技-U,1,688107
SH688106,金宏气体,1,688106
SH688105,诺唯赞,1,688105
SH688100,威胜信息,1,688100
SH688099,晶晨股份,1,688099
SH688091,上海谊众-U,1,688091
SH688089,嘉必优,1,688089
SH688085,三友医疗,1,688085
SH688084,晶品特装,1,688084
SH688083,中望软件,1,688083
SH688082,盛美上海,1,688082
SH688077,大地熊,1,688077
SH688073,毕得医药,1,688073
SH688072,拓荆科技-U,1,688072
SH688068,热景生物,1,688068
SH688066,航天宏图,1,688066
SH688063,派能科技,1,688063
SH688061,灿瑞科技,1,688061
SH688060,云涌科技,1,688060
SH688053,思科瑞,1,688053
SH688052,纳芯微,1,688052
SH688050,爱博医疗,1,688050
SH688048,长光华芯,1,688048
SH688047,龙芯中科,1,688047
SH688041,海光信息,1,688041
SH688037,芯源微,1,688037
SH688036,传音控股,1,688036
SH688035,德邦科技,1,688035
SH688033,天宜上佳,1,688033
SH688032,禾迈股份,1,688032
SH688031,星环科技-U,1,688031
SH688029,南微医学,1,688029
SH688025,杰普特,1,688025
SH688023,安恒信息,1,688023
SH688019,安集科技,1,688019
SH688018,乐鑫科技,1,688018
SH688017,绿的谐波,1,688017
SH688016,心脉医疗,1,688016
SH688012,中微公司,1,688012
SH688008,澜起科技,1,688008
SH688007,光峰科技,1,688007
SH688006,杭可科技,1,688006
SH688005,容百科技,1,688005
SH688002,睿创微纳,1,688002
SH605599,菜百股份,1,605599
SH605598,上海港湾,1,605598
SH605589,圣泉集团,1,605589
SH605567,春雪食品,1,605567
SH605566,福莱蒽特,1,605566
SH605499,东鹏饮料,1,605499
SH605399,晨光新材,1,605399
SH605388,均瑶健康,1,605388
SH605377,华旺科技,1,605377
SH605376,博迁新材,1,605376
SH605369,拱东医疗,1,605369
SH605366,宏柏新材,1,605366
SH605358,立昂微,1,605358
SH605338,巴比食品,1,605338
SH605337,李子园,1,605337
SH605336,帅丰电器,1,605336
SH605333,沪光股份,1,605333
SH605305,中际联合,1,605305
SH605299,舒华体育,1,605299
SH605289,罗曼股份,1,605289
SH605286,同力日升,1,605286
SH605266,健之佳,1,605266
SH605218,伟时电子,1,605218
SH605208,永茂泰,1,605208
SH605199,葫芦娃,1,605199
SH605183,确成股份,1,605183
SH605177,东亚药业,1,605177
SZ301391,卡莱特,0,301391
SZ301377,鼎泰高科,0,301377
SZ301369,联动科技,0,301369
SZ301367,怡和嘉业,0,301367
SZ301363,美好医疗,0,301363
SZ301349,信德新材,0,301349
SZ301339,通行宝,0,301339
SZ301333,诺思格,0,301333
SZ301328,维峰电子,0,301328
SZ301327,华宝新能,0,301327
SZ301312,智立方,0,301312
SZ301311,昆船智能,0,301311
SZ301308,江波龙,0,301308
SZ301302,华如科技,0,301302
SZ301301,川宁生物,0,301301
SZ301297,富乐德,0,301297
SZ301278,快可电子,0,301278
SZ301269,华大九天,0,301269
SZ301268,铭利达,0,301268
SZ301267,华厦眼科,0,301267
SZ301266,宇邦新材,0,301266
SZ301263,泰恩康,0,301263
SZ301256,华融化学,0,301256
SZ301239,普瑞眼科,0,301239
SZ301238,瑞泰新材,0,301238
